[2016-11-16 15:41:56.418]  Using channels 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83
[2016-11-16 15:41:56.432]  Entered sniffer mode with address 2D:58:9E:2D:08
[2016-11-16 15:41:56.533]  Ping success on channel 2
[2016-11-16 15:41:56.634]  Ping success on channel 2
[2016-11-16 15:41:56.735]  Ping success on channel 2
[2016-11-16 15:41:56.836]  Ping success on channel 2
[2016-11-16 15:41:56.937]  Ping success on channel 2
[2016-11-16 15:41:57.038]  Ping success on channel 2
[2016-11-16 15:41:57.139]  Ping success on channel 2
[2016-11-16 15:41:57.240]  Ping success on channel 2
[2016-11-16 15:41:57.341]  Ping success on channel 2
[2016-11-16 15:41:57.415]   2   5  2D:58:9E:2D:08  00:40:00:55:6B
[2016-11-16 15:41:57.516]  Tuned to 2
[2016-11-16 15:41:57.518]  Tuned to 3
[2016-11-16 15:41:57.519]  Tuned to 4
[2016-11-16 15:41:57.521]  Tuned to 5
[2016-11-16 15:41:57.522]  Tuned to 6
[2016-11-16 15:41:57.524]  Tuned to 7
[2016-11-16 15:41:57.525]  Tuned to 8
[2016-11-16 15:41:57.527]  Tuned to 9
[2016-11-16 15:41:57.528]  Tuned to 10
[2016-11-16 15:41:57.530]  Tuned to 11
[2016-11-16 15:41:57.531]  Tuned to 12
[2016-11-16 15:41:57.533]  Tuned to 13
[2016-11-16 15:41:57.534]  Tuned to 14
[2016-11-16 15:41:57.535]  Tuned to 15
[2016-11-16 15:41:57.537]  Tuned to 16
[2016-11-16 15:41:57.538]  Tuned to 17
[2016-11-16 15:41:57.540]  Tuned to 18
[2016-11-16 15:41:57.542]  Tuned to 19
[2016-11-16 15:41:57.543]  Tuned to 20
[2016-11-16 15:41:57.545]  Tuned to 21
[2016-11-16 15:41:57.546]  Tuned to 22
[2016-11-16 15:41:57.548]  Tuned to 23
[2016-11-16 15:41:57.549]  Tuned to 24
[2016-11-16 15:41:57.551]  Tuned to 25
[2016-11-16 15:41:57.552]  Tuned to 26
[2016-11-16 15:41:57.554]  Tuned to 27
[2016-11-16 15:41:57.555]  Tuned to 28
[2016-11-16 15:41:57.557]  Tuned to 29
[2016-11-16 15:41:57.558]  Tuned to 30
[2016-11-16 15:41:57.559]  Tuned to 31
[2016-11-16 15:41:57.561]  Tuned to 32
[2016-11-16 15:41:57.562]  Tuned to 33
[2016-11-16 15:41:57.564]  Tuned to 34
[2016-11-16 15:41:57.565]  Tuned to 35
[2016-11-16 15:41:57.567]  Tuned to 36
[2016-11-16 15:41:57.568]  Tuned to 37
[2016-11-16 15:41:57.570]  Tuned to 38
[2016-11-16 15:41:57.571]  Tuned to 39
[2016-11-16 15:41:57.573]  Tuned to 40
[2016-11-16 15:41:57.574]  Tuned to 41
[2016-11-16 15:41:57.575]  Tuned to 42
[2016-11-16 15:41:57.577]  Tuned to 43
[2016-11-16 15:41:57.578]  Tuned to 44
[2016-11-16 15:41:57.580]  Tuned to 45
[2016-11-16 15:41:57.581]  Tuned to 46
[2016-11-16 15:41:57.583]  Tuned to 47
[2016-11-16 15:41:57.584]  Tuned to 48
[2016-11-16 15:41:57.586]  Tuned to 49
[2016-11-16 15:41:57.587]  Tuned to 50
[2016-11-16 15:41:57.588]  Tuned to 51
[2016-11-16 15:41:57.590]  Tuned to 52
[2016-11-16 15:41:57.591]  Tuned to 53
[2016-11-16 15:41:57.593]  Tuned to 54
[2016-11-16 15:41:57.594]  Tuned to 55
[2016-11-16 15:41:57.596]  Tuned to 56
[2016-11-16 15:41:57.597]  Tuned to 57
[2016-11-16 15:41:57.599]  Tuned to 58
[2016-11-16 15:41:57.600]  Tuned to 59
[2016-11-16 15:41:57.601]  Tuned to 60
[2016-11-16 15:41:57.603]  Tuned to 61
[2016-11-16 15:41:57.605]  Tuned to 62
[2016-11-16 15:41:57.606]  Tuned to 63
[2016-11-16 15:41:57.608]  Tuned to 64
[2016-11-16 15:41:57.609]  Tuned to 65
[2016-11-16 15:41:57.610]  Tuned to 66
[2016-11-16 15:41:57.612]  Tuned to 67
[2016-11-16 15:41:57.613]  Tuned to 68
[2016-11-16 15:41:57.615]  Tuned to 69
[2016-11-16 15:41:57.616]  Tuned to 70
[2016-11-16 15:41:57.618]  Tuned to 71
[2016-11-16 15:41:57.619]  Tuned to 72
[2016-11-16 15:41:57.620]  Tuned to 73
[2016-11-16 15:41:57.622]  Tuned to 74
[2016-11-16 15:41:57.623]  Tuned to 75
[2016-11-16 15:41:57.625]  Tuned to 76
[2016-11-16 15:41:57.626]  Tuned to 77
[2016-11-16 15:41:57.628]  Tuned to 78
[2016-11-16 15:41:57.629]  Tuned to 79
[2016-11-16 15:41:57.630]  Tuned to 80
[2016-11-16 15:41:57.632]  Tuned to 81
[2016-11-16 15:41:57.633]  Tuned to 82
[2016-11-16 15:41:57.635]  Tuned to 83
[2016-11-16 15:41:57.636]  Unable to ping 2D:58:9E:2D:08
[2016-11-16 15:41:57.638]  Tuned to 2
[2016-11-16 15:41:57.639]  Tuned to 3
[2016-11-16 15:41:57.641]  Tuned to 4
[2016-11-16 15:41:57.642]  Tuned to 5
[2016-11-16 15:41:57.644]  Tuned to 6
[2016-11-16 15:41:57.645]  Tuned to 7
[2016-11-16 15:41:57.646]  Tuned to 8
[2016-11-16 15:41:57.648]  Tuned to 9
[2016-11-16 15:41:57.649]  Tuned to 10
[2016-11-16 15:41:57.651]  Tuned to 11
[2016-11-16 15:41:57.652]  Tuned to 12
[2016-11-16 15:41:57.653]  Tuned to 13
